Sr.No.,Category,Name of Book,Author,Acc.No,Price ,quantity,availibility,Rack No.,accession_date,Classification/Section No.,Publisher ,Publisher Place,year,Pages,ISBN,Receipt No.,added_on
35,Novel,A Lesson Before Dying,"Gaines, J. Ernest",B.Ed/35,,1,1,2,,891/ERN,Vintage Books,New York,1993,256,,,
36,Novel,Four American Novels,Fuller;Achtenhagen,B.Ed/36,,1,1,2,,891/FUL/ACH,"Harcourt, Brace & World",New York,1959,661,,,
37,Novel,A Lesson Before Dying,"Gaines, J. Ernest",B.Ed/37,$12.95 ,1,1,2,,891/ERN,Vintage Books,New York,1993,256,,,
38,Novel,Myster of the Five Magics,"Hardy,Lyndon",B.Ed/38,,1,1,2,,891/LYN,Ballantine Books,New York,1981,373,,,
39,Novel,Ten Modern American Short Stories,"Sohn,David A.",B.Ed/39,,1,1,2,,891/DAV,Bantam Books,Toronto,1981,154,,,
40,Novel,Aman for All Seasons,"Bolt,Robert",B.Ed/40,,1,1,2,,891/ROB,Vintage Books,New York,1962,95,,,
41,Education & Reference,Jansankhya Shiksha,"Mallayya,K.C.",B.Ed/41,20,1,1,2,,304/MAL/SAM,Vinod Pustak Mandir,Agra,1990,188,,,
42,Education & Reference,Anoupacharik Shikshan,"Kulkarni,Manohar;Phegade,Ramdas",B.Ed/42,40,1,1,2,,920.71/TIW,Nutan Prakashan,Pune,1994,127,,,
43,Novel,Samarsaudamini,"Kher,B.D.",B.Ed/43,130,1,1,2,,891/KHE,Vihang prakashan,Pune,2006,176,,,
44,Reference,Zanzavati sahya va Swabhav,"Ghanekar,Madhusudan",B.Ed/44,80,1,1,2,,601/GAA,Nitin Prakashan,Pune,2000,104,,,
45,Biography,Jinnah,"Singh,Jaswant",B.Ed/45,695,1,1,2,,891/JAS,"Rupa, co",New Delhi,2009,669,,,
46,Reference,Samsamayik Aarthik Nirbandh,"Chauhan,S.S; Ravikant",B.Ed/46,52,1,1,2,,370/CHA/KAN,Upkar Prakashan,Agra,,220,,,
47,Reference,The Last Nizam,"Zubrzycki,John",B.Ed/47,395,1,1,2,,891/JOH,Pan Macmillan Australia Pty Lim.,Sydney,2007,382,,,
48,Novel,Hana's Suitcase,"Levine,Karen",B.Ed/48,125,1,1,2,,891/KAR,Jyotsna Prakashan,Pune,2007,111,,,
49,Education & Reference,Methods and Techniques of Teaching,"Kochhar,S.K.",B.Ed/49,100,1,1,2,,370/KOC,Sterling Publishers Private Lim.,New Delhi,2000,364,,,
50,Reference,A" for Adventure,"Panandiker,Surekha",B.Ed/50,40,1,1,2,,370.15/PAN,Jyotsna Prakashan,Pune,2012,69,,,
51,Reference,Pop-Ups,"Khare,Madhav",B.Ed/51,120,1,1,2,,370.15/KHA,Jyotsna Prakashan,Pune,2012,80,,,
52,Biography,An Edgar Allan Poe Reader,"Poe,Edgar Allan",B.Ed/52,,1,1,2,,891/EDG,Globe Book Company,New Jersey,1992,228,,,
53,Novel,Mahabharat,"Mangalvedhekar,Raja",B.Ed/53,75,1,1,2,,891/MAN,Jyotsna Prakashan,Pune,2010,125,,,
54,Story,Animal Stories,"Sahasrabuddhye,P.G.",B.Ed/54,75,1,1,2,,891/SAH,Jyotsna Prakashan,Pune,2011,116,,,
55,Reference,Natural Behavior in Humans and Animals,American Psychological Association,B.Ed/55,,1,1,2,,891/AME,"Teachers college, Columbia University",New York,1981,55,,,
56,Novel,Death of Salesman,"Miller,Arthur",B.Ed/56,$11.00 ,1,1,2,,823/MIL,Penguin Books,New York,1977,139,,,
57,Reference,States of Consciousness,American Psychological Association,B.Ed/57,,1,1,2,,370.15/AME,"Teachers college, Columbia University",New York,1981,55,,,
58,Story,Junior Great Books-series 4,The Great Books Foundation,B.Ed/58,,1,1,2,,370.15/THE,The Great Books Foundation,Chicago,1984,103,,,
59,Story,When I was a Little Girl,"Gilmore,Rachna",B.Ed/59,45,1,1,2,,891/GIL,Jyotsna Prakashan,Pune,2008,,,,
60,Story,Aesop''s Fables,"Lavlekar,Rajesh",B.Ed/60,25,1,1,2,,891/LAV,Jyotsna Prakashan,Pune,2009,40,,,
61,Reference,States of Consciousness,American Psychological Association,B.Ed/61,,1,1,2,,370.15/AME,"Teachers college, Columbia University",New York,1981,55,,,
62,Novel,Mahabharat,"Mangalvedhekar,Raja",B.Ed/62,75,1,1,2,,891/MAN,Jyotsna Prakashan,Pune,2010,125,,,
63,Reference,The National Geographic Magazine,National Geographic Society,B.Ed/63,,1,1,2,,891/NAT,National Geographic Society,Washington,1959,298,,,
64,Story,Animal Stories,"Sahasrabuddhye,P.G.",B.Ed/64,75,1,1,2,,891/SAH,Jyotsna Prakashan,Pune,2011,116,,,
65,Reference,World History,Fearon;Janus,B.Ed/65,,1,1,2,,891/FEA/JAN,Globe Fearon Educational Publisher,New Jersey,1990,176,,,
66,Education & Reference,Curriculum and Evaluation Standards for School Mathematics ,"Leiva,Miriam A.",B.Ed/66,,1,1,2,,510/ADD,National Council of Teachers of mathematics,Virginia,1993,32,,,
67,Reference,The second Voyage of the Mimi,"Math, Maya",B.Ed/67,,1,1,2,,510/SAM,Wings for Lerning,Scotts Valley,1990,130,,,
68,Reference,Everyday Mathematics,University of Chicago School,B.Ed/68,,1,1,2,,510/THE,MC Graw Hill/Wright Group,Chicago,2007,386,,,
69,Reference, Literature,Gold,B.Ed/69,,1,1,2,,891/PRI,Prentice Hall,New Jersey,1991,1054,,,
70,Reference,B.Ed. Pravesh Pariksha Sampurna Margadarshan,"Dayma,Brijmohan",B.Ed/70,180,1,1,2,,370/DAY,Vidyabharti Prakashan,Latur,2006,555,,,
71,Reference,Glencoe Health,,B.Ed/71,,1,1,2,,901/-,Glancoe McGrow Hill,New York,,118,,,
72,Reference,Math Practice,Prentice Hall,B.Ed/72,,1,1,2,,510/PRE,Prentice Hall,New Jersey,2005,16,,,
73,Reference,Bharat Road Atlas,"Pandya,Kaushik ",B.Ed/73,50,1,1,2,,901/PAN,Anada Sahitya Prakashan,Ahmadabad,2001,72,,,
74,Reference,The Watermelon Route,"Graban,Quentin",B.Ed/74,60,1,1,2,,891/GRE,Jyotsna Prakashan,Pune,2010,,,,
75,Reference,Tales from Hitopadesh,"Sahasrabuddhye,P.G.",B.Ed/75,70,1,1,2,,891/SAH,Jyotsna Prakashan,Pune,2011,92,,,
76,Reference,Junior Great Books-series 4,The Great Books Foundation,B.Ed/76,,1,1,2,,370.15/THE,The Great Books Foundation,Chicago,1984,103,,,
77,Story,The Girl Who Hated Books,"Pawagi,Manjusha",B.Ed/77,45,1,1,2,,891/PAW,Jyotsna Prakashan,Pune,2007,,,,
78,Story,Jungle Stories,"Godbole,Govind",B.Ed/78,60,1,1,2,,891/GOD,Jyotsna Prakashan,Pune,2011,79,,,
79,Reference,Teachers Manual(Everyday English Book 1),"Sahi,Jane",B.Ed/79,150,1,1,2,,491/JAN,Jyotsna Prakashan,Pune,2009,98,,,
80,Reference,Writting Research Reports,"Littell,McDougal",B.Ed/80,102,1,1,2,,423/LIT,McDougal Littell,Evanston,2001,103,,,
81,Reference,Algebra 1,"Littell,McDougal",B.Ed/81,,1,1,2,,510/LIT,McDougal Littell,Evanston,2004,31,,,
82,Reference,Sugam Marathi Vyakaran Lekhan ,"Vallambe,M.R.",B.Ed/82,60,1,1,3,,491.465/VAL,Nitin Prakashan,Pune,2001,298,,,
83,Reference,Dwitiya bhasha Hindi,"Dunakhe,Arvind;Dunakhe,Anshumati",B.Ed/83,225,1,1,3,,491.43/DUN,Nitya Nutan prakashan,Pune,2007,440,,,
84,Reference,Adhunik Hindi Shikshan,"Kumar,Yogesh",B.Ed/84,150,1,1,3,,491.43/KUM,A.P.H.Publishing co.,New Delhi,2004,198,,,
85,Education & Reference,Hindi Adhyapan Paddhati,"Randive,Kamalakar",B.Ed/85,140,1,1,3,,370.1/RNA,Nitya Nutan prakashan,Pune,2009,315,,,
86,Education & Reference,Hindi Aashayukta Adhyapan Paddhati,"Vaskar,Aanand;Vaskar,Pushpa",B.Ed/86,100,1,1,3,,491.43/VAS,Meheta Publishing House,Pune,1995,192,,,
87,Education & Reference,Marathiche Aashayaukta Adhyapan,"Dunakhe,Arvind",B.Ed/87,235,1,1,3,,370/DUN,Nitya Nutan prakashan,Pune,2007,470,,,
88,Education & Reference,Hindi Adhyapan ,"Pandit,B.B",B.Ed/88,50,1,1,3,,491.43/PAN,Nutan Prakashan,Pune,1991,158,,,
89,Education & Reference,Hindi: Vishaydnyan Evam Adhyapan Paddhati,"Dunakhe,Arvind;Dunakhe,Anshumati",B.Ed/89,150,1,1,3,,370/DUN,Nutan Prakashan,Pune,1998,400,,,
90,Education & Reference,Dwitiya bhasha Hindi,"Dunakhe,Arvind;Dunakhe,Anshumati",B.Ed/90,225,1,1,3,,370.1/DUN,Nitya Nutan prakashan,Pune,2007,440,,,
91,Education & Reference,Hindi Aashayukta Adhyapan ,"Pathan,B.B.",B.Ed/91,115,1,1,3,,491.43/PAT,Nitya Nutan prakashan,Pune,2008,208,,,
92,Education & Reference,Mulya Shikshan,"Pandey,Ramshakal;Mishr,Karunashankar",B.Ed/92,40,1,1,3,,370/PAN,Vinod Pustak Mandir,Agra,1991,152,,,
93,Education & Reference,Hindi Aashayukta Adhyapan,"Pathan,B.B.",B.Ed/93,115,1,1,3,,491.43/PAT,Nitya Nutan Prakashan  ,Pune,2008,208,,,
94,Education & Reference,Dwitiya bhasha Hindi,"Dunakhe,Arvind;Dunakhe,Anshumati",B.Ed/94,225,1,1,3,,491.43/DUN,Nitya Nutan Prakashan,Pune,2007,440,,,
95,Education & Reference,Hindi Adhyapan,"Pandit,B.B",B.Ed/95,50,1,1,3,,372.6043/PAN,Nutan Prakashan,Pune,1991,158,,,
96,Education & Reference,Dwitiya bhasha Hindi,"Dunakhe,Arvind;Dunakhe,Anshumati",B.Ed/96,225,1,1,3,,491.43/DUN,Nitya Nutan prakashan,Pune,2007,440,,,
97,Education & Reference,Hindi Adhyapan,"Pandit,B.B",B.Ed/97,50,1,1,3,,491.43/PAN,Nutan Prakashan,Pune,1991,158,,,
98,Education & Reference,Hindi Adhyapan,"Pandit,B.B",B.Ed/98,50,1,1,3,,491.43/PAN,Nutan Prakashan,Pune,1991,158,,,
99,Education & Reference,Nai Shiksha Niti,"Pandey,Ramshakal",B.Ed/99,40,1,1,3,,370/PAN,Vinod Pustak Mandir,Agra,1997,144,,,
100,Education & Reference,Navin Hindi Adhyapan Shailey,"Suri,Brujbala",B.Ed/100,110,1,1,3,,491.43/SUR,Animesh Prakashan,Mumbai,2009,133,,,
101,Reference,11 saptember,"Ghate,Niranjan",B.Ed/101,80,1,1,3,,891.46/GHA,Prajakta prakashan,Pune,2001,80,,,
102,Education & Reference,Marathi Adhyapan Paddhati,"Karandikar,Suresh",B.Ed/102,140,1,1,3,,370/KAR,Phadake Prakashan,Kolhapur,2000,301,,,
103,Education & Reference,Marathi Shikshan va Aashayukta Adhyapan,"Ransure,Vials",B.Ed/103,170,1,1,3,,370/RAN,Sanghmitra Prakashan,Miraj,2006,231,,,
104,Education & Reference,Marathi Shuddalekhan Pradeep,"Vallambe,M.R.",B.Ed/104,75,1,1,3,,491/VAL,Nitin Prakashan,Pune,2002,192,,,
105,Education & Reference,Marathi Shuddalekhan Pradeep,"Vallambe,M.R.",B.Ed/105,75,1,1,3,,491/VAL,Nitin Prakashan,Pune,2002,192,,,
106,Education & Reference,Marathi Shuddalekhan Pradeep,"Vallambe,M.R.",B.Ed/106,75,1,1,3,,491/VAL,Nitin Prakashan,Pune,2002,192,,,
107,Education & Reference,Marathi Kaviteche Adhyapan,"Joshi,Shilaja",B.Ed/107,40,1,1,3,,372.3946/JOS,Nutan Prakashan,Pune,1989,176,,,
108,Education & Reference,Sugam Marathi Vyakaran Lekhan ,"Vallambe,M.R.",B.Ed/108,60,1,1,3,,491.465/VAL,Nitin Prakashan,Pune,2001,313,,,
109,Education & Reference,Sugam Marathi Vyakaran Lekhan ,"Vallambe,M.R.",B.Ed/109,60,1,1,3,,491.465/VAL,Nitin Prakashan,Pune,2001,298,,,
110,Education & Reference,Sugam Marathi Vyakaran Lekhan ,"Vallambe,M.R.",B.Ed/110,60,1,1,3,,491.465/VAL,Nitin Prakashan,Pune,2001,298,,,
111,Education & Reference,Sugam Marathi Vyakaran Lekhan ,"Vallambe,M.R.",B.Ed/111,60,1,1,3,,491.465/VAL,Nitin Prakashan,Pune,2001,298,,,
112,Education & Reference,Sugam Marathi Vyakaran Lekhan ,"Vallambe,M.R.",B.Ed/112,45,1,1,3,,491.465/VAL,Nitin Prakashan,Pune,1997,298,,,
113,Education & Reference,Marathiche Aashayaukta Adhyapan,"Dunakhe,Arvind",B.Ed/113,225,1,1,3,,491.46/DUN,Nitya Nutan Prakashan,Pune,2005,468,,,
114,Education & Reference,Marathiche Aashayaukta Adhyapan,"Dunakhe,Arvind",B.Ed/114,225,1,1,3,,491.46/DUN,Nitya Nutan Prakashan,Pune,2005,468,,,
115,Education & Reference,Marathiche Aashayaukta Adhyapan,"Dunakhe,Arvind",B.Ed/115,225,1,1,3,,491.46/DUN,Nitya Nutan Prakashan,Pune,2005,468,,,
116,Education & Reference,Matrubhasha Marathiche Aashayaukta Adhyapan,"Pawar,N.G.",B.Ed/116,115,1,1,3,,370/PAV,Nutan Prakashan,Pune,2005,283,,,
117,Education & Reference,Matrubhasha Marathiche Aashayaukta Adhyapan,"Pawar,N.G.",B.Ed/117,115,1,1,3,,370/PAV,Nutan Prakashan,Pune,2005,283,,,
118,Education & Reference,Sugam Marathi Vyakaran Lekhan ,"Vallambe,M.R.",B.Ed/118,60,1,1,3,,491.465/VAL,Nitin Prakashan,Pune,2001,298,,,
119,Education & Reference,Marathi Aashay Adhyapan Paddhati,"Karandikar,Suresh; Mangarulkar,Meena",B.Ed/119,150,1,1,3,,370/KAR,Phadake Prakashan,Kolhapur,,302,,,
120,Education & Reference,Marathi Aashay Adhyapan Paddhati,"Karandikar,Suresh; Mangarulkar,Meena",B.Ed/120,150,1,1,3,,370/KAR,Phadake Prakashan,Kolhapur,,302,,,
121,Education & Reference,Marathi Aashay Adhyapan Paddhati,"Karandikar,Suresh; Mangarulkar,Meena",B.Ed/121,150,1,1,3,,370/KAR,Phadake Prakashan,Kolhapur,,302,,,
122,Education & Reference,Marathi Shikshan va Aashayukta Adhyapan,"Ransure,Vials",B.Ed/122,170,1,1,3,,370/RAN,Sanghmitra Prakashan,Miraj,2008,231,,,
123,Education & Reference,Marathitil Akshar Granthkar,"Gokhle,M.V.",B.Ed/123,60,1,1,3,,491/GOK,Pratima Prakashan,Pune,1993,128,,,
124,Education & Reference,Pragati-B.Ed. Vishayshikshan Marathi,Kulkarni,B.Ed/124,45,1,1,3,,370/KUL,Pragati Books Pvt. Ltd.,Pune,2010,,,,
125,Education & Reference,Handwriting Analysis,"Rout,B",B.Ed/125,195,1,1,3,,,Neelkamal Publications Pvt.Ltd.,New Delhi,2010,158,,,
126,Reference,Quiz Time,"Paranjape,Suresh",B.Ed/126,40,1,1,3,,,Pustak Mahal,Delhi,1994,127,,,
127,Education & Reference,Business Etiquette and Effective Presentation,"Palat,Raghu",B.Ed/127,,1,1,3,,,Himalaya Publishing House Pvt. Lim.,Mumbai,2009,250,,,
128,Education & Reference,Security for Telecommunications Network Management,"Rozenblit,Moshe",B.Ed/128,,1,1,3,,,IEEE Press,New York,2000,296,,,
129,Education & Reference,"Vocational Education in India-Why,What & How","Agarwal,J.C.;Agarwal,S.P.",B.Ed/129,80,1,1,3,,370/AGG,Doaba House,Delhi,1987,199,,,
130,Education & Reference,Mahavidyalayin Adhyapak(Net-Set-1),"Chavan,Deepak",B.Ed/130,280,1,1,3,,,Insite Prakashan,Nashik,2005,401,,,
131,Education & Reference,Strategic Management,"Cherunilam,Francis",B.Ed/131,,1,1,3,,,Himalaya Publishing House Pvt. Lim.,Mumbai,2010,310,,,
132,Education & Reference,Educational Administration,"Ludbe,Madhuri",B.Ed/132,,1,1,3,,,Symbiosis Centre for Distance Learning,Pune,2010,278,,,
133,Reference,Yash Tumchya Hatat,"Khera,Shiv",B.Ed/133,,1,1,3,,,Macmillan India Limited,Delhi,2008,304,,,
134,Education & Reference,Aadhunik Bhartiya Shiksha,"Bhatnagar,Suresh",B.Ed/134,43,1,1,3,,370/BHA,R.Lal Book Depot,Merath,1993,388,,,
135,Reference,Marathi Shuddhalekhan Pradeep,"Vallambe,M.R.;Phadake,Arun",B.Ed/135,75,1,1,3,,491/VAL,Nitin Prakashan,Pune,2002,192,,,
136,Novel,Hrudayastha,"Mandke,Alka",B.Ed/136,250,1,1,3,,891.46/MAN,Granthali Prakashan,Mumbai,2006,236,,,
137,Reference,Pune Vidyapithacha Itihas,Pune Vidyapith,B.Ed/137,200,1,1,3,,,Pune Vidyapith,Pune,1999,209,,,
138,Novel,Gun Gain Aavadi,"Deshpande,P.L.",B.Ed/138,120,1,1,3,,891/DES,Mauj Prakashan gruha,Mumbai,2010,200,,,
139,Education & Reference,Prayogik Manasashastra,"Vanarse,S.J.;Gogate,S.B",B.Ed/139,30,1,1,4,,370.15/VAN,Vinus Prakashan,Pune,1976,407,,,
140,Education & Reference,Shaleya Shaikshanik Adhishthan,"Virkar,Prabhakar;Virkar,Pratibha",B.Ed/140,130,1,1,4,,371.3/VIR,Pune Vidyarthi Gruha Prakashan,Pune,2005,328,,,
141,Education & Reference,Loksankhya Shikshan,"Nagpure,V.R.;Jape,D.K.",B.Ed/141,50,1,1,4,,304/NAG,Nutan Prakashan,Pune,1990,144,,,
142,Education & Reference,Anaupacharik shikshan,"Bobe,B.S.",B.Ed/142,50,1,1,4,,373/BOB,Nutan Prakashan,Pune,1996,140,,,
143,Reference,Aadivasi Prashnna Aani Parivartan,"Gare,Govind",B.Ed/143,70,1,1,4,,891/GAR,Amrut Prakashan,Aurangabad,1994,142,,,
144,Reference,The Mother on Education,"Shukla,Anil",B.Ed/144,,1,1,4,,370/SHU,National Council for Teacher Education,New Delhi,2004,260,,,
145,Reference,Shikshanachya Vastav Disha,"Nadkarni,M.D.",B.Ed/145,12,1,1,4,,373.2/NAA,Lalit Natya Prakashan,Mumbai,1987,88,,,
146,Reference,Shiksha Aur Samaj Ki Ridha Prerak Pramukh,Prakashanand,B.Ed/146,200,1,1,4,,370/PRA,,,,200,,,
147,Reference,Purab Khile Palash,"Tyagi,Ravindranath",B.Ed/147,175,1,1,4,,891.43/TYA,Bharatiya Dnyanpith Prakashan,New Delhi,1998,410,,,
148,Novel,Shahenshaha,"Inamdar,N.S.",B.Ed/148,300,1,1,4,,891.46/INA,Continental prakashan,Pune,2000,715,,,
149,novel,Tolastoy Ek Manus,"Devasthale,Sumati",B.Ed/149,135,1,1,4,,891.46/DEV,Rajahansa Prakashan,Pune,1990,502,,,
150,Reference,Nivadak Agralekh Va Patre,"Tilak,Bal Gangadhar",B.Ed/150,370,1,1,4,,,Riya Publication,Kolhapur,2016,304,,,
151,Reference,Sahityalochan ke Siddhant,"Jain,Ravindrakumar",B.Ed/151,100,1,1,4,,370/JAL,National Publishing House,New Delhi,1990,299,,,
152,Reference,Ardhaviram,"Gadakh,Yashvantarao",B.Ed/152,280,1,1,4,,891/GAD,Ruturang Prakashan,Mumbai,2003,208,,,
153,Biography,Samagra Keshavsut,"Pandit,B.S.",B.Ed/153,140,1,1,4,,891/PAM,Vinus Prakashan,Pune,1996,381,,,
154,Reference,Shikshan Chitra,"Joshi,Ram",B.Ed/154,150,1,1,4,,370/JOS,Granthali Prakashan,Mumbai,1996,218,,,
155,Novel,Mahanayak,"Patil,Vishwas",B.Ed/155,350,1,1,4,,891.46/PAT,Rajahansa Prakashan,Pune,2008,704,,,
156,Novel,Shyamchi Aai,Sane Guruji,B.Ed/156,60,1,1,4,,891.46/SAN,Pune Vidyarthi Gruha Prakashan,Pune,2008,256,,,
157,Novel,Baudhha Darshan,"Shakya,Rajendraprasad",B.Ed/157,60,1,1,4,,891/SHA,Madhyapradesh Hindi Academy,Bhopal,2001,201,,,
158,Reference,General Studies English Medium,Satish & Brother,B.Ed/158,45,1,1,4,,428.6/SAT,Satish & Brother,Delhi,2001,388,,,
159,Education & Reference,Pragat Shiskshanik Manasashatra,"Kharat,A.P.",B.Ed/159,40,1,1,4,,370.15/KHA,Shree Vidya Prakashan,Pune,1988,366,,,
160,Reference,Batmigiri,"Rahane,Ulhas",B.Ed/160,75,1,1,4,,891/RHA,Sahitya Rekha Prakashan,Nashik,1999,102,,,
161,Reference,Shikshan Chitra,"Joshi,Ram",B.Ed/161,150,1,1,4,,370/JOS,Granthali Prakashan,Mumbai,1996,218,,,
162,Reference,Leni Maharashtrachi,"Dalvi,Daud",B.Ed/162,700,1,1,4,,891/DLV,Granthali Prakashan,Mumbai,2004,302,,,
163,Reference,Khristapuranache Antarang,"Kolaso,Andru",B.Ed/163,50,1,1,4,,891.46/AND,Father Stiphan Academi,Vasai,1995,94,,,
164,Education,Geography of India,"Parakh,B.S.",B.Ed/164,28,1,1,4,,901/PAR,Rashtriya Shaikshik Anusandhan aur Prashikshan Parishad,New Delhi,2000,166,,,
165,Education,Shaikshik evam Manovaigyanik Anusandhan ke Muladhar,"Tiwari,Govind",B.Ed/165,30,1,1,4,,371/TIW,Vinod Pustak Mandir,Agra,1985,368,,,
166,Biography,Radhakrishnan- A Biography,"Gopal,Sarvepalli",B.Ed/166,250,1,1,4,,891/SAR,Oxford University Press,Delhi,1989,408,,,
167,Education,Arthshastra Adhyapan paddhati,Gajare;Puranik,B.Ed/167,20,1,1,4,,330/GAJ,Nutan Prakashan,Pune,1991,92,,,
168,Education,Vanijya Adhyapan Paddhati,Gajare;Nankar,B.Ed/168,15,1,1,4,,370/GAJ,Nutan Prakashan,Pune,1989,86,,,
169,Education,Vanijya Adhyapan Paddhati,Gajare;Nankar,B.Ed/169,15,1,1,4,,370/GAJ,Nutan Prakashan,Pune,1989,86,,,
170,Education,Ganit Adhyayan va Adhyapan,"Hakim,Prabhakar",B.Ed/170,,1,1,4,,,Nutan Prakashan,Pune,,300,,,
171,Reference,Hiroshima,"Kher,B.D.",B.Ed/171,500,1,1,4,,891.46/KHE,Vihang prakashan,Pune,1998,612,,,
